Tech skil
Algorithms
big data
Advanced Microsoft Excel
Advanced SQL
Amazon Web Services
Analytics
c
c++
java
nlp
natural language processing
ml
machine learning
deep learning
Neural network
A#.NET
ASP.NET 
c#
c shell
cobra
java script
jscript
julia
matlab
numpy
r
sas
Qualitative analysis
Quantitative analysis
Search Engine Optimization
Access
Excel
Outlook
PowerPoint
Access
Excel
Outlook
PowerPoint
Data Analysis
Databases
sap
SciPy
matplotlib
sckit-learn
GraphLab
image processing
HTML
CSS
PHP
python
TCL SCRIPTING
Shell Scripting
NS-2






